"Order_ID";"Product_ID";"User_ID";"Order_Date";"Return_Date";"Product_Category";"Product_Price";"Order_Quantity";"Return_Reason";"Return_Status";"Days_to_Return";"User_Age";"User_Gender";"User_Location";"Payment_Method";"Shipping_Method";"Discount_Applied";"Sales";"Profit"
"ORD00000035";"PROD00000035";"USER00000035";"2024-07-23";"";"Clothing";331.26;2;"No Return";"Not Returned";0;46;"Female";"City95";"PayPal";"Standard";41.02;390.75;78.15
"ORD00000036";"PROD00000036";"USER00000036";"2024-01-07";"2023-08-29";"Electronics";115.82;5;"Defective";"Returned";-131;54;"Female";"City43";"Credit Card";"Express";23.76;441.51;88.3
"ORD00000037";"PROD00000037";"USER00000037";"2023-02-11";"2024-05-10";"Clothing";246.15;1;"Wrong item";"Returned";454;31;"Female";"City62";"Gift Card";"Standard";23.63;187.98;37.6
"ORD00000038";"PROD00000038";"USER00000038";"2023-02-17";"";"Toys";43.82;2;"No Return";"Not Returned";0;28;"Female";"City11";"Credit Card";"Next-Day";14.6;74.84;14.97
"ORD00000039";"PROD00000039";"USER00000039";"2024-10-27";"2024-10-19";"Toys";266.34;4;"Wrong item";"Returned";-8;44;"Female";"City60";"PayPal";"Standard";30.88;736.38;147.28
"ORD00000040";"PROD00000040";"USER00000040";"2023-03-21";"";"Toys";351.52;1;"No Return";"Not Returned";0;46;"Male";"City42";"PayPal";"Next-Day";11.58;310.81;62.16
"ORD00000041";"PROD00000041";"USER00000041";"2024-01-03";"2023-01-15";"Books";334.27;4;"Changed mind";"Returned";-353;69;"Male";"City81";"PayPal";"Express";43.44;756.25;151.25
"ORD00000042";"PROD00000042";"USER00000042";"2024-02-10";"";"Books";240.65;2;"No Return";"Not Returned";0;33;"Female";"City61";"Gift Card";"Standard";12.93;419.07;83.81
"ORD00000043";"PROD00000043";"USER00000043";"2024-05-23";"2024-06-05";"Clothing";105.7;3;"Wrong item";"Returned";13;44;"Male";"City41";"Credit Card";"Next-Day";42.07;183.7;36.74
"ORD00000044";"PROD00000044";"USER00000044";"2024-10-10";"";"Home";188.76;3;"No Return";"Not Returned";0;66;"Female";"City12";"Gift Card";"Standard";12.68;494.48;98.9
"ORD00000045";"PROD00000045";"USER00000045";"2023-11-15";"2023-02-05";"Toys";294.18;2;"Changed mind";"Returned";-283;69;"Male";"City89";"Gift Card";"Next-Day";32.7;395.97;79.19
"ORD00000046";"PROD00000046";"USER00000046";"2023-05-22";"2024-03-09";"Home";97.31;2;"Changed mind";"Returned";292;53;"Female";"City49";"Debit Card";"Next-Day";10.96;173.29;34.66
"ORD00000047";"PROD00000047";"USER00000047";"2024-10-23";"2024-03-22";"Home";335.96;2;"Wrong item";"Returned";-215;63;"Male";"City5";"Credit Card";"Standard";19.05;543.92;108.78
"ORD00000048";"PROD00000048";"USER00000048";"2024-04-19";"2023-11-16";"Electronics";344.31;4;"Not as described";"Returned";-155;36;"Male";"City68";"Credit Card";"Express";10.99;1225.88;245.18
"ORD00000049";"PROD00000049";"USER00000049";"2024-03-14";"";"Clothing";297.62;4;"No Return";"Not Returned";0;52;"Male";"City53";"Credit Card";"Express";16.9;989.29;197.86
"ORD00000050";"PROD00000050";"USER00000050";"2023-06-14";"2024-07-21";"Books";23.6;1;"Defective";"Returned";403;37;"Female";"City12";"Credit Card";"Next-Day";6.53;22.06;4.41
"ORD00000051";"PROD00000051";"USER00000051";"2024-03-27";"";"Toys";495.34;3;"No Return";"Not Returned";0;46;"Female";"City50";"Debit Card";"Express";43.34;841.98;168.4
"ORD00000052";"PROD00000052";"USER00000052";"2024-02-22";"";"Toys";49.47;2;"No Return";"Not Returned";0;53;"Female";"City46";"Credit Card";"Express";38.09;61.25;12.25
"ORD00000053";"PROD00000053";"USER00000053";"2024-03-12";"2023-05-21";"Clothing";359.9;3;"Defective";"Returned";-296;55;"Female";"City23";"Debit Card";"Standard";3.01;1047.2;209.44
"ORD00000054";"PROD00000054";"USER00000054";"2023-02-12";"";"Home";283.79;2;"No Return";"Not Returned";0;42;"Male";"City76";"Debit Card";"Next-Day";30.81;392.71;78.54
"ORD00000055";"PROD00000055";"USER00000055";"2023-04-30";"2023-04-11";"Home";352.93;4;"Changed mind";"Returned";-19;34;"Male";"City31";"Gift Card";"Express";22.83;1089.42;217.88
"ORD00000056";"PROD00000056";"USER00000056";"2024-02-04";"";"Electronics";353.51;4;"No Return";"Not Returned";0;39;"Female";"City24";"Debit Card";"Standard";17.72;1163.47;232.69
"ORD00000057";"PROD00000057";"USER00000057";"2024-09-22";"2023-09-10";"Books";301.68;2;"Changed mind";"Returned";-378;47;"Male";"City16";"PayPal";"Standard";30.59;418.79;83.76
"ORD00000058";"PROD00000058";"USER00000058";"2024-05-06";"";"Home";129.94;5;"No Return";"Not Returned";0;65;"Female";"City37";"PayPal";"Next-Day";12.83;566.34;113.27
"ORD00000059";"PROD00000059";"USER00000059";"2023-02-13";"";"Electronics";16.37;2;"No Return";"Not Returned";0;32;"Male";"City65";"Credit Card";"Next-Day";16.08;27.48;5.5
"ORD00000060";"PROD00000060";"USER00000060";"2024-10-26";"2024-02-24";"Books";389.83;4;"Wrong item";"Returned";-245;40;"Female";"City44";"Gift Card";"Express";12.23;1368.62;273.72
"ORD00000061";"PROD00000061";"USER00000061";"2024-11-06";"";"Home";344.6;4;"No Return";"Not Returned";0;28;"Female";"City80";"PayPal";"Next-Day";40.95;813.95;162.79
"ORD00000062";"PROD00000062";"USER00000062";"2023-12-12";"";"Clothing";195.24;5;"No Return";"Not Returned";0;53;"Female";"City3";"Gift Card";"Express";16.1;819.03;163.81
"ORD00000063";"PROD00000063";"USER00000063";"2023-11-21";"";"Clothing";428.0;1;"No Return";"Not Returned";0;50;"Female";"City81";"Debit Card";"Standard";12.39;374.97;74.99
"ORD00000064";"PROD00000064";"USER00000064";"2024-07-06";"2023-03-17";"Books";429.41;3;"Wrong item";"Returned";-477;53;"Male";"City44";"Debit Card";"Next-Day";13.22;1117.93;223.59
"ORD00000065";"PROD00000065";"USER00000065";"2023-06-03";"2023-09-22";"Toys";280.61;2;"Defective";"Returned";111;32;"Male";"City92";"Debit Card";"Express";2.34;548.09;109.62
"ORD00000066";"PROD00000066";"USER00000066";"2024-09-08";"";"Books";142.71;2;"No Return";"Not Returned";0;60;"Female";"City75";"Debit Card";"Next-Day";19.05;231.05;46.21
"ORD00000067";"PROD00000067";"USER00000067";"2023-11-07";"2023-05-30";"Toys";227.79;3;"Not as described";"Returned";-161;70;"Female";"City31";"Gift Card";"Next-Day";27.11;498.11;99.62
"ORD00000068";"PROD00000068";"USER00000068";"2023-11-13";"2024-06-16";"Electronics";394.08;3;"Wrong item";"Returned";216;62;"Male";"City28";"Credit Card";"Next-Day";12.27;1037.18;207.44
"ORD00000069";"PROD00000069";"USER00000069";"2024-06-11";"";"Clothing";266.88;2;"No Return";"Not Returned";0;65;"Female";"City3";"Debit Card";"Next-Day";21.32;419.96;83.99
"ORD00000070";"PROD00000070";"USER00000070";"2024-05-24";"2023-06-21";"Toys";87.17;4;"Defective";"Returned";-338;46;"Female";"City50";"Gift Card";"Express";32.02;237.03;47.41
"ORD00000071";"PROD00000071";"USER00000071";"2024-08-21";"";"Toys";312.45;4;"No Return";"Not Returned";0;30;"Female";"City100";"PayPal";"Next-Day";33.19;834.99;167.0
"ORD00000072";"PROD00000072";"USER00000072";"2023-03-30";"";"Toys";481.58;3;"No Return";"Not Returned";0;39;"Male";"City97";"Debit Card";"Next-Day";22.71;1116.64;223.33
"ORD00000073";"PROD00000073";"USER00000073";"2023-07-10";"";"Clothing";283.14;5;"No Return";"Not Returned";0;62;"Male";"City43";"Credit Card";"Standard";17.53;1167.53;233.51
"ORD00000074";"PROD00000074";"USER00000074";"2024-02-21";"";"Toys";84.9;5;"No Return";"Not Returned";0;67;"Female";"City43";"Gift Card";"Next-Day";46.26;228.13;45.63
"ORD00000075";"PROD00000075";"USER00000075";"2023-05-08";"2024-01-19";"Electronics";332.39;5;"Not as described";"Returned";256;36;"Male";"City53";"Debit Card";"Next-Day";24.31;1257.93;251.59
"ORD00000076";"PROD00000076";"USER00000076";"2023-05-30";"";"Electronics";139.6;5;"No Return";"Not Returned";0;34;"Male";"City24";"PayPal";"Standard";13.87;601.19;120.24
"ORD00000077";"PROD00000077";"USER00000077";"2023-04-09";"2024-01-21";"Books";185.34;2;"Not as described";"Returned";287;31;"Female";"City34";"PayPal";"Standard";36.01;237.2;47.44
"ORD00000078";"PROD00000078";"USER00000078";"2023-05-07";"2024-08-10";"Toys";64.29;2;"Not as described";"Returned";461;39;"Male";"City57";"Debit Card";"Express";47.4;67.63;13.53
"ORD00000079";"PROD00000079";"USER00000079";"2024-08-07";"";"Electronics";231.65;5;"No Return";"Not Returned";0;58;"Male";"City14";"Debit Card";"Standard";45.83;627.42;125.48
"ORD00000080";"PROD00000080";"USER00000080";"2023-04-02";"";"Electronics";44.48;1;"No Return";"Not Returned";0;50;"Male";"City8";"Debit Card";"Express";27.66;32.18;6.44
"ORD00000081";"PROD00000081";"USER00000081";"2024-03-21";"2023-09-13";"Clothing";429.47;5;"Defective";"Returned";-190;39;"Male";"City10";"Gift Card";"Standard";44.36;1194.79;238.96
"ORD00000082";"PROD00000082";"USER00000082";"2023-03-17";"2023-08-31";"Electronics";496.22;5;"Changed mind";"Returned";167;67;"Male";"City36";"Gift Card";"Next-Day";32.87;1665.56;333.11
"ORD00000083";"PROD00000083";"USER00000083";"2023-06-08";"2024-10-23";"Electronics";52.19;1;"Not as described";"Returned";503;21;"Female";"City100";"Debit Card";"Standard";35.14;33.85;6.77
"ORD00000084";"PROD00000084";"USER00000084";"2024-11-18";"";"Books";427.29;3;"No Return";"Not Returned";0;51;"Male";"City28";"PayPal";"Standard";46.46;686.31;137.26
"ORD00000085";"PROD00000085";"USER00000085";"2023-04-13";"";"Home";283.68;3;"No Return";"Not Returned";0;49;"Male";"City95";"Credit Card";"Next-Day";38.31;525.01;105.0
"ORD00000086";"PROD00000086";"USER00000086";"2024-03-06";"";"Home";255.78;2;"No Return";"Not Returned";0;63;"Female";"City52";"Credit Card";"Next-Day";34.49;335.12;67.02
"ORD00000087";"PROD00000087";"USER00000087";"2023-08-03";"";"Books";478.47;4;"No Return";"Not Returned";0;22;"Female";"City71";"PayPal";"Standard";9.06;1740.48;348.1
"ORD00000088";"PROD00000088";"USER00000088";"2023-12-12";"2023-09-27";"Electronics";78.94;2;"Changed mind";"Returned";-76;23;"Female";"City1";"Credit Card";"Express";49.94;79.03;15.81
"ORD00000089";"PROD00000089";"USER00000089";"2023-07-31";"";"Home";481.66;3;"No Return";"Not Returned";0;28;"Male";"City4";"PayPal";"Next-Day";20.8;1144.42;228.88
"ORD00000090";"PROD00000090";"USER00000090";"2024-10-10";"";"Toys";193.16;3;"No Return";"Not Returned";0;56;"Male";"City11";"PayPal";"Express";26.81;424.12;84.82
"ORD00000091";"PROD00000091";"USER00000091";"2024-12-25";"2024-08-11";"Toys";99.21;1;"Not as described";"Returned";-136;29;"Female";"City17";"PayPal";"Next-Day";30.21;69.24;13.85
"ORD00000092";"PROD00000092";"USER00000092";"2023-10-02";"2024-02-27";"Home";394.71;4;"Changed mind";"Returned";148;66;"Female";"City25";"Gift Card";"Next-Day";16.01;1326.07;265.21
"ORD00000093";"PROD00000093";"USER00000093";"2023-07-29";"2024-07-01";"Home";230.9;2;"Defective";"Returned";338;69;"Male";"City10";"Credit Card";"Next-Day";26.62;338.87;67.77
"ORD00000094";"PROD00000094";"USER00000094";"2024-04-03";"";"Clothing";296.56;1;"No Return";"Not Returned";0;39;"Female";"City97";"Gift Card";"Standard";32.02;201.6;40.32
"ORD00000095";"PROD00000095";"USER00000095";"2023-02-27";"";"Books";490.55;1;"No Return";"Not Returned";0;62;"Male";"City10";"PayPal";"Standard";17.9;402.74;80.55
"ORD00000096";"PROD00000096";"USER00000096";"2023-06-18";"2023-11-08";"Toys";496.31;4;"Defective";"Returned";143;53;"Male";"City88";"Gift Card";"Next-Day";10.15;1783.74;356.75
"ORD00000097";"PROD00000097";"USER00000097";"2024-12-08";"2024-04-15";"Toys";104.39;2;"Defective";"Returned";-237;58;"Female";"City46";"Credit Card";"Standard";28.68;148.9;29.78
"ORD00000098";"PROD00000098";"USER00000098";"2024-02-21";"";"Clothing";434.25;5;"No Return";"Not Returned";0;18;"Female";"City83";"Gift Card";"Express";7.11;2016.87;403.37
"ORD00000099";"PROD00000099";"USER00000099";"2023-12-07";"2024-12-30";"Books";46.61;1;"Wrong item";"Returned";389;42;"Male";"City12";"Credit Card";"Next-Day";8.9;42.46;8.49
"ORD00000100";"PROD00000100";"USER00000100";"2023-10-30";"";"Clothing";284.49;4;"No Return";"Not Returned";0;48;"Female";"City59";"Credit Card";"Next-Day";39.82;684.82;136.96
"ORD00000101";"PROD00000101";"USER00000101";"2024-05-01";"2024-08-20";"Books";169.93;5;"Wrong item";"Returned";111;40;"Male";"City40";"Credit Card";"Next-Day";27.73;614.04;122.81
"ORD00000102";"PROD00000102";"USER00000102";"2023-09-21";"";"Books";146.37;4;"No Return";"Not Returned";0;23;"Female";"City66";"Debit Card";"Express";42.55;336.36;67.27
"ORD00000103";"PROD00000103";"USER00000103";"2024-09-08";"";"Electronics";444.43;4;"No Return";"Not Returned";0;48;"Female";"City27";"Debit Card";"Next-Day";28.53;1270.54;254.11
"ORD00000104";"PROD00000104";"USER00000104";"2023-04-10";"2023-10-24";"Home";35.16;3;"Defective";"Returned";197;48;"Female";"City27";"PayPal";"Next-Day";3.9;101.37;20.27
"ORD00000105";"PROD00000105";"USER00000105";"2023-06-12";"";"Home";287.93;4;"No Return";"Not Returned";0;66;"Female";"City14";"Debit Card";"Standard";3.37;1112.91;222.58
"ORD00000106";"PROD00000106";"USER00000106";"2023-09-03";"2023-04-04";"Books";448.84;2;"Changed mind";"Returned";-152;60;"Male";"City20";"Gift Card";"Express";26.3;661.59;132.32
"ORD00000107";"PROD00000107";"USER00000107";"2023-10-09";"";"Toys";168.68;2;"No Return";"Not Returned";0;48;"Male";"City22";"PayPal";"Standard";44.53;187.13;37.43
"ORD00000108";"PROD00000108";"USER00000108";"2024-10-17";"";"Books";466.62;3;"No Return";"Not Returned";0;24;"Male";"City83";"Debit Card";"Express";8.36;1282.83;256.57
"ORD00000109";"PROD00000109";"USER00000109";"2024-08-27";"";"Clothing";51.56;4;"No Return";"Not Returned";0;37;"Male";"City95";"Credit Card";"Express";44.74;113.97;22.79
"ORD00000110";"PROD00000110";"USER00000110";"2024-05-31";"";"Toys";79.31;1;"No Return";"Not Returned";0;37;"Female";"City36";"Gift Card";"Next-Day";29.18;56.17;11.23
"ORD00000111";"PROD00000111";"USER00000111";"2024-08-03";"2023-09-01";"Home";315.11;5;"Defective";"Returned";-337;50;"Female";"City71";"PayPal";"Express";37.68;981.88;196.38
"ORD00000112";"PROD00000112";"USER00000112";"2024-05-12";"2023-04-06";"Clothing";259.57;2;"Not as described";"Returned";-402;55;"Female";"City90";"Credit Card";"Next-Day";40.28;310.03;62.01
"ORD00000113";"PROD00000113";"USER00000113";"2024-03-10";"";"Clothing";137.72;3;"No Return";"Not Returned";0;45;"Male";"City8";"Debit Card";"Standard";1.13;408.49;81.7
"ORD00000114";"PROD00000114";"USER00000114";"2023-01-07";"";"Electronics";464.67;4;"No Return";"Not Returned";0;54;"Male";"City26";"Gift Card";"Standard";19.21;1501.63;300.33
"ORD00000115";"PROD00000115";"USER00000115";"2024-06-07";"2023-06-01";"Toys";197.66;4;"Not as described";"Returned";-372;59;"Female";"City9";"Credit Card";"Next-Day";42.31;456.12;91.22
"ORD00000116";"PROD00000116";"USER00000116";"2023-09-26";"2024-07-15";"Books";79.9;4;"Defective";"Returned";293;42;"Female";"City73";"PayPal";"Express";22.19;248.68;49.74
"ORD00000117";"PROD00000117";"USER00000117";"2024-02-04";"2024-09-17";"Electronics";265.23;4;"Changed mind";"Returned";226;57;"Male";"City89";"Credit Card";"Next-Day";49.85;532.05;106.41
"ORD00000118";"PROD00000118";"USER00000118";"2023-12-04";"2023-07-01";"Books";91.84;2;"Not as described";"Returned";-156;56;"Female";"City7";"Credit Card";"Next-Day";31.58;125.67;25.13
"ORD00000119";"PROD00000119";"USER00000119";"2023-04-13";"";"Clothing";468.62;2;"No Return";"Not Returned";0;31;"Male";"City27";"Gift Card";"Next-Day";46.77;498.89;99.78
"ORD00000120";"PROD00000120";"USER00000120";"2024-08-08";"2024-10-13";"Books";245.44;5;"Changed mind";"Returned";66;29;"Female";"City34";"PayPal";"Standard";25.44;915.0;183.0
"ORD00000121";"PROD00000121";"USER00000121";"2023-09-06";"";"Toys";116.2;2;"No Return";"Not Returned";0;37;"Male";"City69";"Gift Card";"Next-Day";48.36;120.01;24.0
"ORD00000122";"PROD00000122";"USER00000122";"2024-06-12";"";"Home";400.21;3;"No Return";"Not Returned";0;69;"Female";"City20";"PayPal";"Standard";36.32;764.56;152.91
"ORD00000123";"PROD00000123";"USER00000123";"2024-07-04";"2023-11-02";"Electronics";490.8;2;"Changed mind";"Returned";-245;37;"Female";"City23";"Credit Card";"Express";43.37;555.88;111.18
"ORD00000124";"PROD00000124";"USER00000124";"2023-03-09";"";"Books";310.14;2;"No Return";"Not Returned";0;54;"Male";"City65";"PayPal";"Express";22.6;480.1;96.02
"ORD00000125";"PROD00000125";"USER00000125";"2024-12-20";"";"Home";247.46;2;"No Return";"Not Returned";0;48;"Male";"City52";"Gift Card";"Next-Day";19.97;396.08;79.22
"ORD00000126";"PROD00000126";"USER00000126";"2023-01-14";"";"Home";255.71;2;"No Return";"Not Returned";0;57;"Male";"City76";"Credit Card";"Standard";7.64;472.35;94.47
"ORD00000127";"PROD00000127";"USER00000127";"2024-03-03";"";"Books";172.02;1;"No Return";"Not Returned";0;46;"Female";"City11";"Credit Card";"Next-Day";2.75;167.29;33.46
"ORD00000128";"PROD00000128";"USER00000128";"2023-12-01";"";"Clothing";170.05;2;"No Return";"Not Returned";0;23;"Male";"City56";"Debit Card";"Express";35.55;219.19;43.84
"ORD00000129";"PROD00000129";"USER00000129";"2024-04-09";"";"Toys";314.35;3;"No Return";"Not Returned";0;22;"Male";"City3";"Credit Card";"Standard";15.81;793.95;158.79
"ORD00000130";"PROD00000130";"USER00000130";"2024-02-25";"";"Electronics";319.34;1;"No Return";"Not Returned";0;54;"Male";"City76";"Gift Card";"Next-Day";18.74;259.5;51.9
"ORD00000131";"PROD00000131";"USER00000131";"2024-05-24";"2023-10-10";"Books";219.29;2;"Changed mind";"Returned";-227;56;"Male";"City6";"Credit Card";"Express";32.59;295.65;59.13
"ORD00000132";"PROD00000132";"USER00000132";"2023-02-15";"2024-09-03";"Electronics";174.94;1;"Defective";"Returned";566;62;"Female";"City48";"PayPal";"Next-Day";22.43;135.7;27.14
"ORD00000133";"PROD00000133";"USER00000133";"2024-03-04";"";"Home";85.28;2;"No Return";"Not Returned";0;20;"Female";"City70";"Credit Card";"Express";1.55;167.92;33.58
"ORD00000134";"PROD00000134";"USER00000134";"2023-01-25";"2023-01-05";"Books";18.83;1;"Wrong item";"Returned";-20;27;"Male";"City26";"Gift Card";"Standard";1.57;18.53;3.71
"ORD00000135";"PROD00000135";"USER00000135";"2024-05-31";"2023-07-16";"Electronics";291.09;4;"Changed mind";"Returned";-320;19;"Female";"City14";"Debit Card";"Express";8.37;1066.9;213.38
"ORD00000136";"PROD00000136";"USER00000136";"2023-01-23";"2023-06-11";"Toys";386.51;1;"Wrong item";"Returned";139;27;"Male";"City50";"Credit Card";"Standard";10.19;347.12;69.42
"ORD00000137";"PROD00000137";"USER00000137";"2024-07-17";"2024-01-13";"Electronics";285.21;4;"Not as described";"Returned";-186;32;"Male";"City44";"Debit Card";"Next-Day";40.21;682.11;136.42
"ORD00000138";"PROD00000138";"USER00000138";"2023-08-01";"";"Clothing";238.63;2;"No Return";"Not Returned";0;46;"Female";"City27";"Credit Card";"Express";20.89;377.56;75.51
"ORD00000139";"PROD00000139";"USER00000139";"2024-04-09";"2023-10-13";"Books";16.55;4;"Changed mind";"Returned";-179;21;"Female";"City32";"Credit Card";"Express";22.61;51.23;10.25
"ORD00000140";"PROD00000140";"USER00000140";"2024-10-09";"2023-10-15";"Home";161.94;5;"Changed mind";"Returned";-360;68;"Female";"City61";"Gift Card";"Standard";35.96;518.53;103.71
"ORD00000141";"PROD00000141";"USER00000141";"2023-07-29";"2024-05-13";"Clothing";173.42;1;"Wrong item";"Returned";289;33;"Female";"City34";"Gift Card";"Express";26.04;128.26;25.65
"ORD00000142";"PROD00000142";"USER00000142";"2023-10-17";"";"Electronics";199.13;4;"No Return";"Not Returned";0;50;"Female";"City17";"Credit Card";"Express";4.82;758.13;151.63
"ORD00000143";"PROD00000143";"USER00000143";"2023-01-01";"";"Electronics";219.56;1;"No Return";"Not Returned";0;24;"Female";"City11";"Debit Card";"Standard";1.05;217.25;43.45
